id	average_year
2488562	2018
1032769	2013
275907	1996
709639	2005
12736460	2022
232045	1995
692602	1988
489717	2011
1622094	2017
743091	1964
220035	2009
377590	2013
539935	1974
692574	1968
426633	1982
1703828	1992
250428	1992
1297439	1965
2986835	1932
2982922	1942
11587673	1942
1287454	1948
2982933	1930
2088309	1969
468181	2006
237981	1998
3176060	1924
3170159	1945
954899	1945
707368	1983
285231	1988
1043554	2004
4468095	1926
465093	1998
250436	1997
2499232	2012
4001024	2020
2406153	1938
3151666	1947
727966	1940
3736536	1944
2425531	2016
169958	1986
1060594	1982
1267550	2007
121163	1993
1598223	2020
435659	2001
4435599	2022
3652537	2019
272410	2010
132551	2007
660412	1992
568464	2004
689305	1992
38885	2007
2644206	2017
1694974	2013
2627197	2017
1012519	2017
1544699	2014
3736684	1935
38417	1997
99571	1996
3786948	1934
426630	2003
1707752	2016
2606039	2014
689281	1986
316085	2011
273097	2014
4015	1999
40716	2000
527548	2018
568480	1988
3088584	2017
396475	1996
464765	2011
365625	1997
1679804	2015
234846	2014
539938	2004
257747	1990
401513	1989
11430929	2022
1883733	2018
3170156	1919
1285803	1961
396477	2002
8729	1999
472460	1998
16712	2006
203906	2010
96207	2009
271486	1980
200321	2010
277227	2001
640070	1963
117914	2016
539937	1996
462449	2002
3341	2005
652254	1996
561541	1999
15453609	1930
250441	1989
684843	1994
5558620	1961
326376	2004
489732	2008
899263	2018
4199789	2018
1292568	1980
203916	1999
3029220	1951
2536925	1941
606202	1975
707372	1975
95459	1968
39343	2010
1521273	2006
3017772	1938
1339617	1946
157594	1992
6498264	2021
3706714	2020
2696987	2017
373253	2006
689272	1993
333403	2002
1023799	1968
13538	1998
453030	2002
63078	2002
7846056	1932
1912200	1955
2232743	1948
727951	1963
2515504	2022
489713	2011
740448	2010
762839	1982
148640	2014
4424071	2019
2791034	2017
186531	1990
250431	1987
692592	1964
692587	1991
568481	1997
316074	2003
885955	1998
471802	2000
387851	2008
762783	1979
924338	1999
870303	1990
328477	1994
217355	2002
56316	2004
1448416	1975
522462	1986
727929	1998
1815467	2001
568458	2003
1810425	1991
14431223	2024
535750	2000
252162	1997
4776179	2020
672029	1975
937840	2001
2406152	1947
2719102	2022
1533658	2017
760457	2014
308262	2012
5561068	2020
258050	2008
484007	1981
287559	2004
316077	1987
1392712	2009
760455	2011
5263640	2020
1805807	2016
3489161	2019
537044	2008
1525304	2009
272366	2010
493503	1981
707376	1981
762840	1979
762785	1987
715957	1985
650998	1994
521401	2006
669861	2000
39388	2007
343725	1994
537021	2012
532042	1975
692594	1994
793732	1977
278379	2001
405691	2007
669860	1997
605570	1979
468883	2006
2950045	2017
1599156	2015
247991	2010
562336	1995
667866	2008
1923647	2016
401	2001
865894	2014
74273	2000
38862	2003
8046764	2022
7418168	2022
239257	2004
157189	2008
577753	1985
638330	1997
9939589	2021
316075	2009
257976	2007
9829798	2022
4362623	2017
1859909	2004
3372262	2017
5187703	2019
855152	2011
5412812	2020
1444690	2006
596302	2004
1191739	2016
262995	2008
758950	1974
4869766	2019
3822166	1962
304789	2003
776433	2005
596307	2005
9715729	2022
2986742	1960
1039202	1998
1624326	1924
3736538	1929
3442958	1935
1481371	1958
494585	2005
396235	2011
751352	2007
771237	2017
1018058	1981
762797	1983
230853	1974
1069076	1978
1252133	1982
359803	1992
612644	1995
1295287	1971
3223211	1931
2986738	1950
3736769	1940
56489	2010
3736531	1942
257957	2010
2127584	1965
1825984	1961
186119	1970
2029792	1943
7203000	2022
3320772	2018
684846	1983
250400	1987
464793	1986
707382	1987
5600702	2022
4483	2000
2986834	1939
315703	1995
4674688	2017
3857298	1934
3760708	1953
3736771	1934
251799	1991
1592447	2016
89814	2009
4662760	2018
94019	2001
272991	2001
4239619	2017
762784	1985
649116	1999
1589669	1998
3857274	1950
2425462	1946
312967	1944
752898	1947
1640133	1990
874331	1981
444513	1989
59765	1961
1660268	1952
1215329	1955
3736781	1930
2126791	1959
3117107	1957
2968613	1963
88747	1984
602426	1990
76720	2004
109366	2013
361945	2012
1001887	1997
3747127	2013
2780728	1971
256131	2005
69009	1994
309935	1996
33894	1998
3464060	1951
489720	1988
2563091	1944
3094897	1949
1270023	1986
3738387	1942
1396117	1940
2046112	1946
558507	2013
727944	1990
1345015	1973
5514818	2020
257293	1997
16228	1997
727933	1986
489715	1992
250432	1990
3874781	1922
2055186	2016
692229	2007
1736469	2013
2659274	1982
4276213	1926
3738699	1941
4310416	1951
257958	2004
6199231	1937
4554933	2020
27520	2001
4276216	1936
3519131	1986
924384	1989
5134104	2018
4097775	1921
2800299	2001
731066	1991
1978034	2012
32147	1999
3297005	1912
1233636	1913
2634073	1941
4490529	1948
11197568	2024
13256076	2023
4852655	1958
762948	1984
1926904	1966
3170157	1940
2135584	1945
3786935	1932
1398367	1938
3547111	1948
3788908	1939
3442955	1939
3156119	2016
3852054	1941
2872300	1940
1014340	1971
2228542	1929
2228541	1928
3736779	1924
758954	1974
689274	1974
4097774	1913
431736	1987
2088553	1997
930327	1971
914234	2013
3226275	1925
8115920	1933
3738379	1940
5939153	1938
5848276	1934
510823	1983
525608	1945
1315678	2006
3792345	1938
906023	2002
2693970	1971
1928202	1964
497561	2014
40110	1992
264031	2006
1232370	2003
3175199	2016
6735612	2017
707598	1978
289759	1980
1402353	1982
4097821	1919
6298973	2018
