index,count,cumsum
303,1,3.445661911653229e-05
187,1,6.891323823306458e-05
168,1,0.00010336985734959685
161,1,0.00013782647646612916
153,1,0.00017228309558266143
140,1,0.0002067397146991937
125,1,0.000241196333815726
121,1,0.0002756529529322583
112,1,0.0003101095720487906
109,1,0.00034456619116532286
108,2,0.0004134794293983874
107,1,0.0004479360485149197
104,1,0.000482392667631452
103,1,0.0005168492867479843
102,1,0.0005513059058645166
99,1,0.0005857625249810488
97,1,0.0006202191440975812
95,1,0.0006546757632141134
94,1,0.0006891323823306457
93,1,0.000723589001447178
90,1,0.0007580456205637103
88,1,0.0007925022396802426
86,1,0.0008269588587967748
84,1,0.0008614154779133072
83,1,0.0008958720970298394
81,1,0.0009303287161463717
80,1,0.000964785335262904
79,4,0.0011026118117290333
78,2,0.0011715250499620977
77,2,0.0012404382881951624
76,1,0.0012748949073116947
75,4,0.0014127213837778238
74,1,0.001447178002894356
73,1,0.0014816346220108882
72,2,0.0015505478602439529
71,2,0.0016194610984770173
70,4,0.0017572875749431466
69,1,0.0017917441940596788
68,3,0.0018951140514092758
67,1,0.001929570670525808
66,2,0.0019984839087588725
65,2,0.002067397146991937
64,2,0.002136310385225002
61,3,0.0022396802425745984
60,6,0.0024464199572737924
59,2,0.002515333195506857
58,5,0.0026876162910895183
57,1,0.0027220729102060506
56,5,0.002894356005788712
55,4,0.003032182482254841
54,5,0.0032044655778375028
53,4,0.0033422920543036316
52,5,0.0035145751498862933
51,2,0.0035834883881193575
50,7,0.003824684721935084
49,8,0.004100337674867342
48,4,0.004238164151333471
47,7,0.004479360485149197
46,4,0.004617186961615326
45,5,0.004789470057197987
44,9,0.005099579629246779
43,8,0.0053752325821790365
42,13,0.005823168630693956
41,8,0.006098821583626215
40,11,0.006477844393908069
39,11,0.0068568672041899245
38,16,0.007408173110054442
37,17,0.00799393563503549
36,17,0.008579698160016538
35,9,0.00888980773206533
34,15,0.009406657018813314
33,17,0.009992419543794363
32,19,0.010647095307008476
31,12,0.011060574736406864
30,19,0.011715250499620977
29,27,0.012645579215767349
28,25,0.013506994693680656
27,33,0.014644063124526221
26,28,0.015608848459789125
25,28,0.01657363379505203
24,33,0.017710702225897594
23,42,0.01915788022879195
22,43,0.02063951485080284
21,69,0.023017021569843567
20,59,0.02504996209771897
19,73,0.02756529529322583
18,73,0.030080628488732684
17,95,0.03335400730480325
16,129,0.03779891117083592
15,98,0.041175659844256085
14,171,0.0470677417131831
13,154,0.05237406105712907
12,191,0.05895527530838674
11,216,0.06639790503755771
10,297,0.0766315209151678
9,351,0.08872579422507064
8,453,0.10433464268485976
7,485,0.12104610295637792
6,663,0.14389084143063882
5,957,0.17686582592516023
4,1321,0.22238301977809938
3,2203,0.29829095169182
2,4254,0.44486940941354836
1,16111,1.0
